Model,Accuracy,Precision,Recall,F1 Score
MobileNetV2 + ResNet50V2,0.8946236559139785,0.905969461244369,0.8946236559139785,0.8939405083012474
MobileNetV2 + EfficientNetB0,0.9010752688172043,0.9078478647839073,0.9010752688172043,0.9012310187187559
MobileNetV2 + DenseNet121,0.9096774193548387,0.9185266644944065,0.9096774193548387,0.9086882235175806
ResNet50V2 + EfficientNetB0,0.9139784946236559,0.9137902163483156,0.9139784946236559,0.9134174638682467
EfficientNetB0 + DenseNet121,0.9032258064516129,0.9111355178802152,0.9032258064516129,0.9008216534235722
InceptionResNetV2,0.9870967741935484,0.9872206947295047,0.9870967741935484,0.9870756830079164
